title,year,rating
Gladiator,2000,8.5
Memento,2000,8.5
Snatch,2000,8.3
Requiem for a Dream,2000,8.3
X-Men,2000,7.4
Cast Away,2000,7.8
American Psycho,2000,7.6
Unbreakable,2000,7.3
Meet the Parents,2000,7
Mission: Impossible II,2000,6.1
"O Brother, Where Art Thou?",2000,7.8
Gone in Sixty Seconds,2000,6.5
Wo hu cang long,2000,7.9
The Patriot,2000,7.2
Almost Famous,2000,7.9
Pitch Black,2000,7.1
Scary Movie,2000,6.2
Final Destination,2000,6.7
"Me, Myself & Irene",2000,6.6
The Beach,2000,6.6
Amores perros,2000,8.1
Traffic,2000,7.6
Remember the Titans,2000,7.8
How the Grinch Stole Christmas,2000,6.1
What Women Want,2000,6.4
Chocolat,2000,7.3
Miss Congeniality,2000,6.2
Chicken Run,2000,7
Charlie's Angels,2000,5.5
Batoru rowaiaru,2000,7.7
High Fidelity,2000,7.5
The Emperor's New Groove,2000,7.3
Erin Brockovich,2000,7.3
Road Trip,2000,6.5
The Perfect Storm,2000,6.4
"Dude, Where's My Car?",2000,5.5
Hollow Man,2000,5.7
Scream 3,2000,5.6
Billy Elliot,2000,7.7
Shanghai Noon,2000,6.6
The 6th Day,2000,5.9
What Lies Beneath,2000,6.6
Malcolm in the Middle,2000,8
Pay It Forward,2000,7.2
Faa yeung nin wa,2000,8.1
The Whole Nine Yards,2000,6.7
Coyote Ugly,2000,5.7
Men of Honor,2000,7.2
The Family Man,2000,6.8
Frequency,2000,7.4
Gladiator,2000,8.5
Memento,2000,8.5
Snatch,2000,8.3
Requiem for a Dream,2000,8.3
X-Men,2000,7.4
Cast Away,2000,7.8
American Psycho,2000,7.6
Unbreakable,2000,7.3
Meet the Parents,2000,7
Mission: Impossible II,2000,6.1
"O Brother, Where Art Thou?",2000,7.8
Gone in Sixty Seconds,2000,6.5
Wo hu cang long,2000,7.9
The Patriot,2000,7.2
Almost Famous,2000,7.9
Pitch Black,2000,7.1
Scary Movie,2000,6.2
Final Destination,2000,6.7
"Me, Myself & Irene",2000,6.6
The Beach,2000,6.6
Amores perros,2000,8.1
Traffic,2000,7.6
Remember the Titans,2000,7.8
How the Grinch Stole Christmas,2000,6.1
What Women Want,2000,6.4
Chocolat,2000,7.3
Miss Congeniality,2000,6.2
Chicken Run,2000,7
Charlie's Angels,2000,5.5
Batoru rowaiaru,2000,7.7
High Fidelity,2000,7.5
The Emperor's New Groove,2000,7.3
Erin Brockovich,2000,7.3
Road Trip,2000,6.5
The Perfect Storm,2000,6.4
"Dude, Where's My Car?",2000,5.5
Hollow Man,2000,5.7
Scream 3,2000,5.6
Billy Elliot,2000,7.7
Shanghai Noon,2000,6.6
The 6th Day,2000,5.9
What Lies Beneath,2000,6.6
Malcolm in the Middle,2000,8
Pay It Forward,2000,7.2
Faa yeung nin wa,2000,8.1
The Whole Nine Yards,2000,6.7
Coyote Ugly,2000,5.7
Men of Honor,2000,7.2
The Family Man,2000,6.8
Frequency,2000,7.4
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
A Beautiful Mind,2001,8.2
"Monsters, Inc.",2001,8.1
Donnie Darko,2001,8.1
Am̩lie,2001,8.3
Harry Potter and the Sorcerer's Stone,2001,7.6
Shrek,2001,7.9
Sen to Chihiro no kamikakushi,2001,8.6
Ocean's Eleven,2001,7.8
Training Day,2001,7.7
Black Hawk Down,2001,7.7
The Fast and the Furious,2001,6.8
The Others,2001,7.6
Band of Brothers,2001,9.5
Pearl Harbor,2001,6.1
Mulholland Dr.,2001,8
The Mummy Returns,2001,6.4
Artificial Intelligence: AI,2001,7.1
Jurassic Park III,2001,5.9
Moulin Rouge!,2001,7.6
The Royal Tenenbaums,2001,7.6
Hannibal,2001,6.8
Vanilla Sky,2001,6.9
Zoolander,2001,6.6
American Pie 2,2001,6.4
Blow,2001,7.6
